Sl No,Customer Name,Last Year,April,May,June,July,August,September,October,November,December,January,February,March,Total,Action

1,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
2,Abigail Service Station,0,0,0,0,0,0,0,0,0,0,-1853,0,0,-1853,Remove
3,Alta Filling Station,1000,0,0,0,0,0,0,0,0,0,0,0,0,1000,Remove
4,Arkiwan Service Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
5,Ashok Auto Service (B),0,0,0,0,0,0,0,0,0,281513,194308,85329,0,561150,Remove
6,Ashok Auto Service (S),0,0,0,0,0,0,8623,0,0,0,0,0,0,8623,Remove
7,Assam auto (J),0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
8,Assam auto Agencies(L_M),0,0,0,0,0,0,0,0,0,0,74043,117026,8794,199863,Remove
9,Auto Fuel Service Centre,0,0,0,0,0,0,0,0,0,49469,0,0,0,49469,Remove
10,B Shylla Filling Station,0,0,0,0,0,0,0,0,0,0,5688,0,0,5688,Remove
11,Ba-Man Service Station,0,0,0,0,0,0,0,0,0,0,0,91042,0,91042,Remove
12,Bamon Filling,0,0,0,0,0,0,0,0,44860,0,0,0,0,44860,Remove
13,Bamon Service Station,0,0,0,0,0,0,0,0,0,0,0,34189,0,34189,Remove
14,Banalari Fuel Station,0,0,0,0,0,0,0,0,0,46531,0,46949,0,93480,Remove
15,Bhollangunj Refill Centre,0,0,0,0,0,0,0,0,0,15157,0,109149,0,124306,Remove
16,Black Diamond Refill Centre,0,0,0,0,0,0,0,0,0,-4136,0,0,0,-4136,Remove
17,BMS Fuel Station,0,0,0,0,0,0,0,0,0,0,34389,0,0,34389,Remove
18,Burnihat Service Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
19,Byrnihat A warjri Fuel Stop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
20,Cherra Midway Filling Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
21,D Mercy Refill Centre,0,0,0,0,0,0,0,0,0,314935,0,0,0,314935,Remove
22,Dhar Service Station,0,0,0,0,0,0,0,0,0,117794,0,0,0,117794,Remove
23,Didram Service Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
24,Dkhiah Service Station,0,0,0,0,0,0,0,0,0,0,22899,0,0,22899,Remove
25,Donbok Service Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
26,East Jaintia Filling Center,0,0,0,0,0,0,0,0,53704,0,0,192808,0,246512,Remove
27,Eastern Border Service Station,0,0,0,0,0,0,0,0,0,109248,184859,48981,0,343088,Remove
28,Genesis Service Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
29,Green Hills Service Station,0,0,0,0,0,0,0,0,52321,0,0,113954,0,166275,Remove
30,Harlie V Service Station,0,0,0,0,0,0,0,0,0,0,0,73714,17238,90952,Remove
31,Heimon Filling Station,0,0,0,0,0,0,0,0,0,16340,0,0,0,16340,Remove
32,Highland Service Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
33,Highway Carrier Refilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
34,Highway Plaza Filling centre,0,0,0,0,0,0,0,0,0,0,-531,0,0,-531,Remove
35,Highway Refill Centre,0,0,0,0,0,0,0,0,286019,363013,0,0,0,649032,Remove
36,Hoslin Service Station,0,0,0,0,0,0,0,0,3475,23100,0,0,0,26575,Remove
37,J Marbaniang,0,0,0,0,0,0,0,0,0,0,0,-3415,0,-3415,Remove
38,Jaintia Auto Agencies,0,0,0,0,0,0,0,0,0,-765,0,0,0,-765,Remove
39,Jaintia Service Station,0,0,0,0,0,0,0,0,0,-490,0,0,0,-490,Remove
40,JIRANG FILLING STATION,0,0,0,0,0,-300,0,0,0,0,0,0,0,-300,Remove
41,K Langbai Fuel Station,0,0,0,0,0,0,0,0,0,-1123,0,0,0,-1123,Remove
